label,relpath,format,header,width,height,mips
BZR_STOCK,BZ_ASSETS\pc\textures\DIFF\Chrome.dds,BC1_UNORM(DXT1),FourCC,256,256,9
BZR_STOCK,BZ_ASSETS\pc\textures\DIFF\SBCOMM_d.dds,BC1_UNORM(DXT1),FourCC,2048,1024,9
BZR_STOCK,BZ_ASSETS\pc\textures\DIFF\abbarr_d.dds,BC1_UNORM(DXT1),FourCC,1024,1024,11
BZR_STOCK,BZ_ASSETS\pc\textures\DIFF\abcafe_d.dds,BC1_UNORM(DXT1),FourCC,1024,1024,11
BZR_STOCK,BZ_ASSETS\pc\textures\DIFF\abcomm_d.dds,BC1_UNORM(DXT1),FourCC,1024,1024,11
BZR_STOCK,BZ_ASSETS\pc\textures\DIFF\abhang_d.dds,BC1_UNORM(DXT1),FourCC,1024,1024,11
BZR_STOCK,BZ_ASSETS\pc\textures\DIFF\abhqcp_d.dds,BC1_UNORM(DXT1),FourCC,2048,1024,9
BZR_STOCK,BZ_ASSETS\pc\textures\DIFF\ablpad_d.dds,BC1_UNORM(DXT1),FourCC,2048,1024,9
BZR_STOCK,BZ_ASSETS\pc\textures\DIFF\ablpow_d.dds,BC1_UNORM(DXT1),FourCC,2048,1024,9
BZR_STOCK,BZ_ASSETS\pc\textures\DIFF\abmbld_d.dds,BC1_UNORM(DXT1),FourCC,1024,1024,11
BZR_STOCK,BZ_ASSETS\pc\textures\DIFF\abshld_d.dds,BC1_UNORM(DXT1),FourCC,1024,1024,11
BZR_STOCK,BZ_ASSETS\pc\textures\DIFF\absilo_d.dds,BC1_UNORM(DXT1),FourCC,2048,1024,9
BZR_STOCK,BZ_ASSETS\pc\textures\DIFF\abspow_d.dds,BC1_UNORM(DXT1),FourCC,2048,1024,9
BZR_STOCK,BZ_ASSETS\pc\textures\DIFF\abstor_d.dds,BC1_UNORM(DXT1),FourCC,512,512,10
BZR_STOCK,BZ_ASSETS\pc\textures\DIFF\absupp_d.dds,BC1_UNORM(DXT1),FourCC,1024,1024,11
BZR_STOCK,BZ_ASSETS\pc\textures\DIFF\abtowe02_d.dds,BC1_UNORM(DXT1),FourCC,1024,1024,11
